resume_text,role
"python sql power bi excel data visualization dashboards","Data Analyst"
"python pandas numpy statistics machine learning","Machine Learning Engineer"
"react javascript html css responsive design","Frontend Developer"
"nodejs express mongodb api jwt authentication","Backend Developer"
"react nodejs express mongodb full stack web development","Full Stack Developer"
"sql excel power bi reporting business intelligence","Data Analyst"
"python scikit-learn pandas numpy deep learning","Machine Learning Engineer"
"html css javascript react redux frontend","Frontend Developer"
"nodejs mongodb express backend api development","Backend Developer"
"react nodejs mongodb express full stack applications","Full Stack Developer"
"power bi sql excel analytics dashboards reporting","Data Analyst"
"python machine learning numpy pandas tensorflow","Machine Learning Engineer"
"react javascript html css ui ux","Frontend Developer"
"express nodejs mongodb rest api backend","Backend Developer"
"full stack react express mongodb nodejs","Full Stack Developer"
