resume_text,role
"python sql power bi excel dashboards reporting analytics","Data Analyst"
"sql excel power bi business intelligence reporting","Data Analyst"
"python pandas sql data cleaning visualization","Data Analyst"
"excel dashboards reporting kpi analytics sql","Data Analyst"
"power bi sql excel data visualization","Data Analyst"
"business intelligence reporting excel sql","Data Analyst"
"python sql analytics dashboards power bi","Data Analyst"
"excel reporting data analysis power bi","Data Analyst"
"sql python data visualization analytics","Data Analyst"
"power bi dashboards business intelligence sql","Data Analyst"

"python pandas numpy machine learning","Machine Learning Engineer"
"python scikit-learn pandas numpy deep learning","Machine Learning Engineer"
"tensorflow keras python neural networks","Machine Learning Engineer"
"machine learning feature engineering python","Machine Learning Engineer"
"deep learning computer vision python","Machine Learning Engineer"
"nlp machine learning transformers python","Machine Learning Engineer"
"python numpy pandas tensorflow keras","Machine Learning Engineer"
"scikit-learn machine learning data science","Machine Learning Engineer"
"python deep learning neural network","Machine Learning Engineer"
"tensorflow machine learning python pandas","Machine Learning Engineer"

"react javascript html css responsive design","Frontend Developer"
"react html css javascript ui ux","Frontend Developer"
"frontend development react redux javascript","Frontend Developer"
"html css javascript bootstrap react","Frontend Developer"
"react tailwind css frontend design","Frontend Developer"
"nextjs react javascript frontend development","Frontend Developer"
"responsive ui ux html css react","Frontend Developer"
"react components javascript frontend","Frontend Developer"
"html css react redux web development","Frontend Developer"
"frontend engineer react javascript","Frontend Developer"

"nodejs express mongodb api development","Backend Developer"
"nodejs express jwt authentication backend","Backend Developer"
"mongodb express rest api backend","Backend Developer"
"backend development nodejs express","Backend Developer"
"nodejs mongodb authentication api","Backend Developer"
"rest api express nodejs backend engineer","Backend Developer"
"jwt authentication mongodb nodejs","Backend Developer"
"server side development express nodejs","Backend Developer"
"nodejs backend api development mongodb","Backend Developer"
"express mongodb backend developer","Backend Developer"

"react nodejs express mongodb full stack","Full Stack Developer"
"mern stack development react nodejs","Full Stack Developer"
"full stack applications mongodb express react","Full Stack Developer"
"react frontend nodejs backend mongodb","Full Stack Developer"
"full stack web development mern","Full Stack Developer"
"react express node mongodb projects","Full Stack Developer"
"full stack engineer react nodejs","Full Stack Developer"
"mern applications react mongodb express","Full Stack Developer"
"react nodejs full stack development","Full Stack Developer"
"mongodb express react nodejs developer","Full Stack Developer"
